Fuel Type,Allowance,Charge Type,October 2022 - December 2022,January 2023 - March 2023,April 2023 - June 2023,July 2023 - September 2023,October 2023 - December 2023,January 2024 - March 2024,April 2024 - June 2024,July 2024 - September 2024,October 2024 - December 2024,January 2025 - March 2025,April 2025 - June 2025,July 2025 - September 2025,October 2025 - December 2025,January 2026 - March 2026,April 2026 - June 2026,Allowance Value,Payment Method,Tab Category,Cap Period,Start Date,End Date,Subtotal (UR/SC),Total Bill,% of Subtotal,% of Total Bill
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,965.4044178155593,3.38%,0.35%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,740.9497361581259,3.38%,0.46%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,1619.7699588943133,3.38%,0.21%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,314.73003721782146,801.6883199316958,1.08%,0.43%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,314.73003721782146,965.4044178155593,1.08%,0.35%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,314.73003721782146,740.9497361581259,1.08%,0.46%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,314.73003721782146,1619.7699588943133,1.08%,0.21%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,198.80742031283106,801.6883199316958,1.72%,0.43%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,198.80742031283106,965.4044178155593,1.72%,0.35%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,198.80742031283106,740.9497361581259,1.72%,0.46%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,198.80742031283106,1619.7699588943133,1.72%,0.21%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,197.96005479348332,801.6883199316958,1.72%,0.43%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,197.96005479348332,965.4044178155593,1.72%,0.35%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,197.96005479348332,740.9497361581259,1.72%,0.46%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,197.96005479348332,1619.7699588943133,1.72%,0.21%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,801.6883199316958,3.38%,0.43%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,965.4044178155593,3.38%,0.35%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,740.9497361581259,3.38%,0.46%
Gas,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,PPM,Policy Cost Allowances,,,,100.9354722755703,1619.7699588943133,3.38%,0.21%
